#Step KinEng PotEng TotEng E_pair E_bond E_angle Press Temp Lx Volume 
       0   0.48448444    13.655906     14.14039   -5.7257674    19.348227  0.033446479   -2.3724629   0.32303001           20         8000 
    1000   0.60554605    13.608796    14.214343   -5.8052566    19.380942  0.033110606 -0.023649713   0.40374783    19.745816    7698.8395 
    2000   0.67649858    13.695046    14.371545    -5.746889    19.409106  0.032828756  0.038760667   0.45105544     19.77336    7731.1019 
    3000   0.73651621    13.770558    14.507074   -5.6877988    19.425527  0.032829923 0.0004647501   0.49107219    19.814973    7780.0152 
    4000   0.76593516    13.813717    14.579653   -5.6488816    19.430642    0.0319575  0.065869906   0.51068727     19.84269     7812.709 
    5000    0.7535252    13.797482    14.551007   -5.6657059    19.430162   0.03302636 -0.087107862   0.50241294    19.838823    7808.1421 
    6000   0.73635829    13.783204    14.519562   -5.6703435    19.420462  0.033085627 -0.00033169724    0.4909669    19.824835    7791.6373 
    7000   0.74532125    13.812589     14.55791   -5.6570763    19.437303  0.032362919 -0.057815875   0.49694295    19.833115    7801.4041 
    8000   0.76060286    13.814482    14.575085   -5.6514967    19.433199  0.032779059  0.081881175   0.50713197    19.841222     7810.975 
    9000   0.74754449    13.783272    14.530817   -5.6703335    19.421229  0.032376851 -0.016543368   0.49842529    19.830386    7798.1842 
   10000   0.73874292    13.798583    14.537326   -5.6606555    19.427569  0.031669293 -0.096345524   0.49255685     19.83208    7800.1832 
   11000   0.74870644    13.823548    14.572254   -5.6441105     19.43573  0.031928291  0.028427448   0.49920003    19.844886    7815.3028 
   12000   0.75608091    13.793168    14.549248   -5.6654025    19.426849  0.031721113  0.017398619   0.50411695    19.833301    7801.6235 
   13000   0.73563961    13.799539    14.535178   -5.6629384    19.430756  0.031721006     0.115055   0.49048772     19.82636    7793.4357 
   14000   0.75127092    13.806367    14.557638   -5.6549764    19.429354  0.031989442 -0.087939949   0.50090989    19.842917    7812.9769 
   15000   0.75106107    13.811009     14.56207   -5.6506237    19.430268  0.031364721 0.0031018838   0.50076998    19.842216    7812.1493 
   16000   0.74269515    13.796162    14.538857   -5.6556985    19.419863  0.031997108   0.15191198     0.495192    19.835308     7803.993 
   17000   0.75135389    13.804633    14.555987   -5.6558636    19.428747  0.031749914   0.18262661   0.50096522    19.833113    7801.4021 
   18000   0.75824327    13.806142    14.564385   -5.6538083     19.42836  0.031589882  0.048475442   0.50555871    19.841262    7811.0227 
   19000   0.74856391    13.789542    14.538106   -5.6664904    19.424742   0.03128998  0.084356636     0.499105    19.828085    7795.4704 
   20000    0.7486363     13.79638    14.545017   -5.6675141    19.432126   0.03176803  -0.04409872   0.49915326    19.829844    7797.5449 
   21000   0.76219685    13.804181    14.566378   -5.6531322    19.425841  0.031471518 -0.052866376   0.50819476    19.847248     7818.094 
   22000   0.75525573    13.789798    14.545053   -5.6622696    19.420463  0.031604659   0.11601977   0.50356676    19.822247    7788.5864 
   23000   0.75268341    13.790559    14.543242   -5.6659775    19.424749  0.031786571   0.12363381   0.50185167    19.826301    7793.3659 
   24000   0.75605769    13.806741    14.562799   -5.6605146    19.435831  0.031424073 -0.014753034   0.50410147    19.835079    7803.7225 
   25000   0.73629189    13.814776    14.551068   -5.6465461    19.429736   0.03158679 0.0053752827   0.49092262     19.84234    7812.2955 
   26000   0.74639412    13.812027    14.558421   -5.6564489    19.436691  0.031784881   0.11295243   0.49765829    19.835755    7804.5207 
   27000   0.75484373    13.817604    14.572447   -5.6435522    19.429442  0.031714152    0.1310722   0.50329207    19.829406    7797.0289 
   28000   0.74921536    13.799105     14.54832   -5.6561933    19.423856  0.031442023   0.01775827   0.49953935    19.837829    7806.9682 
   29000   0.74006606    13.802434      14.5425    -5.651916    19.422728  0.031622586  -0.19206537   0.49343905    19.852432     7824.222 
   30000   0.75664225    13.807303    14.563946   -5.6448796    19.420418  0.031765348  -0.13807973   0.50449123    19.850034    7821.3873 
   31000   0.75383242    13.805629    14.559462   -5.6483894     19.42266  0.031358975  0.068352609   0.50261778    19.837073    7806.0764 
   32000   0.73701933    13.804359    14.541378   -5.6616418    19.434444  0.031556703 -0.026915976   0.49140765    19.830194     7797.958 
   33000   0.75387139    13.807746    14.561618   -5.6534131    19.429907  0.031251726  -0.11539149   0.50264376    19.837036    7806.0324 
   34000    0.7528219     13.80286    14.555682   -5.6623023    19.433838  0.031323983  0.052196177   0.50194401    19.828101    7795.4895 
   35000   0.74963728    13.794755    14.544392   -5.6642264    19.428027  0.030954194 -0.067600186   0.49982066    19.835159     7803.817 
   36000   0.75395253    13.822289    14.576242   -5.6417456    19.432621  0.031414294  0.011820653   0.50269786    19.849358    7820.5875 
   37000   0.74323411    13.816743    14.559977   -5.6440309    19.430014  0.030759589  0.057273342   0.49555135     19.84333    7813.4654 
   38000   0.74488693    13.812043     14.55693   -5.6441386     19.42507  0.031111665 -0.046180064   0.49665337    19.844639    7815.0109 
   39000   0.75084003    13.826182    14.577022   -5.6411962    19.436335   0.03104335  0.090469333    0.5006226    19.842536    7812.5265 
   40000   0.76033394    13.803659    14.563993   -5.6437425    19.416647  0.030754643 -0.034521458   0.50695266    19.838995    7808.3449 
   41000   0.74568922     13.83549    14.581179   -5.6274045    19.432076  0.030818195  0.096165659   0.49718829    19.843248    7813.3678 
   42000   0.76011653    13.825685    14.585801   -5.6388082    19.433744  0.030748671 0.00074958873    0.5068077    19.855552    7827.9116 
   43000   0.75281725    13.812588    14.565405   -5.6429144    19.424547  0.030954856  0.005870946   0.50194091     19.84837    7819.4203 
   44000   0.74937056    13.819631    14.569002   -5.6411817    19.429926  0.030886368  0.094279568   0.49964283    19.856608    7829.1608 
   45000   0.75314333    13.844799    14.597942   -5.6174459    19.431121  0.031123417  -0.14049621   0.50215832    19.870684    7845.8223 
   46000   0.74729833    13.839224    14.586522   -5.6198613    19.428505  0.030579582  -0.16208928   0.49826117    19.868005     7842.649 
   47000   0.74261176    13.828649    14.571261   -5.6255002    19.423207  0.030942859     0.154058    0.4951364    19.860561    7833.8374 
   48000   0.74687442    13.827692    14.574567   -5.6352497    19.432758  0.030184144 -0.012543861   0.49797853    19.857887    7830.6735 
   49000   0.74656757    13.827096    14.573663   -5.6361061    19.432508   0.03069344 -0.084121208   0.49777393    19.854541    7826.7155 
   50000   0.75685321    13.822974    14.579827   -5.6362254    19.428491  0.030707863   0.13661431   0.50463188    19.846658    7817.3965 
   51000   0.75308824    13.839286    14.592374   -5.6265013    19.435245   0.03054177  0.047691461   0.50212159    19.851492     7823.111 
   52000   0.73470061    13.834127    14.568828   -5.6275112    19.430464   0.03117422 -0.038438987   0.48986164    19.857564    7830.2915 
   53000   0.75455417    13.826795    14.581349   -5.6354007    19.430763   0.03143252  0.019751249     0.503099    19.861166    7834.5525 
   54000   0.75480976    13.848555    14.603365   -5.6143151    19.432292  0.030577879  0.076286045   0.50326941    19.872424    7847.8833 
   55000   0.75745279    13.834284    14.591737   -5.6318381    19.435675  0.030446959   0.20765616   0.50503166    19.839908    7809.4236 
