#Step KinEng PotEng TotEng E_pair E_bond E_angle Press Temp Lx Volume 
 9999000    1.8040172    14.806328    16.610345   -3.9734278    18.740921  0.038835148  -0.21283293    1.2028285    21.443531    9860.2717 
10000000    1.6273143     14.57566    16.202974   -4.1409457    18.679259  0.037346464   0.12513516    1.0850118    21.257053    9605.2615 
10001000    1.4947497    14.299452    15.794202   -4.3637015    18.624479   0.03867465  -0.19019374   0.99662441    21.012092    9277.0068 
10002000    1.4094347    14.081575     15.49101   -4.5376771    18.584126  0.035126633  -0.15506022   0.93974063    20.841141    9052.4154 
10003000    1.3427627    13.982116    15.324878   -4.6319341    18.578015  0.036035344 -0.060173128   0.89528705    20.742127    8924.0067 
10004000    1.3497979    13.961972     15.31177   -4.6541873    18.580344  0.035815235  -0.12769904   0.89997779    20.709913    8882.4924 
10005000    1.3462408    14.011614    15.357855   -4.6164417    18.590992  0.037063076 -0.00044272836   0.89760609     20.74706     8930.375 
10006000    1.3490199    14.013899    15.362918   -4.6203475    18.595611   0.03863523   -0.1125832   0.89945902    20.732006      8910.95 
10007000    1.3414688    13.994848    15.336317   -4.6265769    18.582919  0.038506567 -0.071543486   0.89442435     20.72852    8906.4557 
10008000    1.3327634    14.030369    15.363133   -4.5907101    18.583133  0.037946705 -0.097138966   0.88862004     20.77564    8967.3318 
10009000    1.3659401    14.025101    15.391041    -4.590471    18.579871  0.035701399  -0.10312233   0.91074059    20.759229    8946.0984 
10010000    1.3510048    13.991677    15.342682   -4.6308331    18.587427  0.035083334    0.1649549   0.90078245    20.715222    8889.3253 
10011000    1.3472459    13.982938    15.330184   -4.6408766     18.58772  0.036094643 -0.076951211   0.89827622    20.718992    8894.1796 
10012000    1.3297944    14.017998    15.347792   -4.6104573     18.59193   0.03652488   -0.1257507   0.88664043    20.750783    8935.1836 
10013000    1.3572053    14.011438    15.368643   -4.6173908    18.593586  0.035242483    0.0423639   0.90491668    20.734193    8913.7695 
10014000    1.3439867    13.987087    15.331074   -4.6279689    18.577786  0.037269894 -0.066864933   0.89610318    20.719424    8894.7356 
10015000     1.332977    13.994788    15.327765   -4.6301593    18.588248   0.03669984   0.06814211   0.88876246    20.718893     8894.051 
10016000    1.3407715    14.016589     15.35736   -4.6106547    18.591749  0.035494056    0.1327587   0.89395944    20.752465    8937.3567 
10017000    1.3683478    14.018531    15.386878   -4.6112229    18.596205  0.033548507  0.036497926   0.91234594    20.740116    8921.4105 
10018000    1.3441771    13.994944    15.339121    -4.628889    18.587237  0.036596034  0.026445372   0.89623008    20.737328    8917.8138 
10019000    1.3544025    13.976102    15.330504   -4.6406513    18.581481  0.035271917  0.018911818   0.90304786    20.715622    8889.8397 
10020000     1.337759    13.991154    15.328913   -4.6271112    18.583999   0.03426561   0.14354412   0.89195086    20.736027    8916.1353 
10021000    1.3375646    14.007549    15.345114   -4.6158881    18.588526  0.034910892  0.075824784   0.89182123     20.74412    8926.5787 
10022000    1.3570612     13.98764    15.344702   -4.6364698    18.590159  0.033950899  0.020457891   0.90482058    20.721744    8897.7234 
10023000    1.3394192    13.998084    15.337504   -4.6209348    18.585038  0.033980743    0.1670757   0.89305778    20.729982    8908.3403 
10024000    1.3485538    13.989623    15.338177   -4.6292748    18.585749  0.033148363 -0.096186477   0.89914829    20.736588    8916.8595 
10025000    1.3483791     14.01093    15.359309   -4.6119812    18.588079  0.034832617   0.18208285    0.8990318    20.728921    8906.9715 
10026000    1.3457027     14.02652    15.372223   -4.5997531    18.591852  0.034421372  0.065451286   0.89724729    20.768319    8957.8546 
10027000     1.351214    14.018083    15.369297   -4.6080217    18.591134  0.034970673   0.02198107   0.90092194    20.757084    8943.3252 
10028000    1.3536508    13.991132    15.344782   -4.6232466    18.580736  0.033641744  -0.12316416   0.90254668    20.741768    8923.5434 
10029000    1.3572582    14.003591    15.360849   -4.6263341    18.595669  0.034255494   0.21004023   0.90495195    20.720634    8896.2938 
10030000    1.3262608    13.988434    15.314695   -4.6350069    18.590318  0.033122225 -0.088746515   0.88428442     20.72461    8901.4162 
10031000    1.3330507    14.001301    15.334352   -4.6215425    18.591029  0.031815167  -0.23161736    0.8888116    20.753327    8938.4696 
10032000    1.3440515    14.018296    15.362347   -4.6181824    18.603443  0.033035614  0.083086272   0.89614634    20.723082    8899.4473 
10033000    1.3707335    13.957489    15.328223   -4.6534657    18.579951  0.031003991  -0.13151662   0.91393658    20.713485    8887.0889 
10034000    1.3328373    13.986761    15.319598   -4.6148319    18.569028  0.032564739   0.12708666   0.88866927    20.738629    8919.4916 
10035000    1.3601362    14.010024     15.37016   -4.6011216    18.579159  0.031986281  0.080683616   0.90687084    20.757264    8943.5578 
10036000    1.3565809    13.994992    15.351573   -4.6245257    18.588813   0.03070479 -0.067778085    0.9045003    20.740183     8921.497 
10037000     1.339895    13.990879    15.330774   -4.6226539    18.580045  0.033487273  0.060767206   0.89337502      20.7265    8903.8515 
10038000    1.3765076    14.007927    15.384434   -4.6169325    18.590902    0.0339573 -0.071749027   0.91778647     20.74107    8922.6418 
10039000    1.3764524    13.984832    15.361284   -4.6253093    18.577069  0.033071841  0.043468589   0.91774964    20.738733    8919.6261 
10040000    1.3553149     13.98961    15.344924   -4.6314715    18.588229  0.032852556 -0.010632906   0.90365622    20.727229    8904.7912 
10041000     1.335988     13.97861    15.314599   -4.6271037    18.572149  0.033564791   0.13107556   0.89077004    20.736446    8916.6753 
10042000    1.3351143    13.993064    15.328178   -4.6248082    18.584748   0.03312439 -0.039143597   0.89018749    20.736012    8916.1165 
10043000    1.3646103    14.006101    15.370711   -4.6157441    18.591358  0.030486863  0.081081358   0.90985391    20.727488    8905.1253 
10044000    1.3476313    13.989199     15.33683   -4.6337059     18.59146  0.031444717  -0.25925408    0.8985332    20.743387    8925.6332 
10045000    1.3413898    13.977653    15.319043   -4.6381158    18.584575  0.031194192 -0.0031454792   0.89437168    20.723172    8899.5629 
10046000    1.3512288    13.986532    15.337761   -4.6296209    18.582812  0.033341161  0.020617557   0.90093179    20.721724    8897.6982 
10047000    1.3646939    14.009714    15.374408   -4.6124981    18.588382  0.033829603  0.052988118   0.90990966    20.746765    8929.9943 
10048000    1.3461991    13.994693    15.340892   -4.6266522    18.586947  0.034398423 -0.040429318   0.89757825    20.740833    8922.3362 
10049000     1.357713    13.965796    15.323509   -4.6534912     18.58545   0.03383738   0.14504181   0.90525516    20.694634    8862.8464 
10050000    1.3568112    13.974268    15.331079   -4.6390045    18.578122  0.035150843 -0.0013842427   0.90465391    20.720487    8896.1051 
10051000    1.3413845    14.000479    15.341864   -4.6146699    18.583739  0.031410038  -0.21329889    0.8943681    20.758085    8944.6196 
10052000    1.3358661    14.026923     15.36279   -4.5979234    18.590543  0.034304022 -0.017842412   0.89068876    20.758746    8945.4744 
10053000     1.342349    14.012244    15.354593   -4.6102137    18.587612  0.034846181  0.023882169   0.89501121    20.738223    8918.9679 
10054000    1.3513234    14.015958    15.367282   -4.6127246    18.593289  0.035393996 0.0050180477   0.90099492    20.746747    8929.9707 
10055000    1.3508073    14.025337    15.376145   -4.6028976    18.593029  0.035205975  -0.17696175   0.90065077    20.762886    8950.8274 
10056000    1.3683111    13.976571    15.344882   -4.6367699    18.580065  0.033275928  0.046085286   0.91232143    20.726099    8903.3352 
10057000    1.3371219    13.999859    15.336981   -4.6227058    18.586681  0.035883658  -0.15116198   0.89152603    20.740606     8922.043 
10058000    1.3574067    14.005677    15.363083   -4.6174691    18.589627  0.033518572 -0.083633271   0.90505095    20.749331    8933.3077 
10059000    1.3487038     13.99958    15.348284    -4.627271    18.590252  0.036598534 -0.089223051   0.89924829    20.735513    8915.4726 
10060000     1.367023    14.000894    15.367917   -4.6103566    18.576333  0.034917507   0.08129005   0.91146257     20.74256    8924.5647 
10061000     1.336992     14.01617    15.353162    -4.597676    18.581252  0.032593978  0.068857956   0.89143941    20.777753    8970.0676 
10062000     1.369884    14.005441    15.375325   -4.6147705    18.585237  0.034974151  0.045644611   0.91337017    20.734392    8914.0269 
10063000    1.3680127    14.003486    15.371498   -4.6009944    18.571566  0.032914126  -0.04699304   0.91212246    20.769635    8959.5578 
10064000    1.3490966    13.980361    15.329458   -4.6407587     18.58978  0.031339841   0.03954146   0.89951021    20.731284    8910.0185 
10065000    1.3572076    13.985249    15.342457   -4.6348965    18.588417  0.031728247 -0.066658815   0.90491817    20.735635    8915.6301 
10066000    1.3502517    14.023293    15.373544   -4.6009778    18.590749  0.033521323  0.070893984   0.90028036    20.761605    8949.1697 
10067000     1.353955    14.008043    15.361998    -4.610277    18.588714  0.029605801  0.051021898    0.9027495    20.748998    8932.8775 
10068000    1.3483146    13.995408    15.343723   -4.6189687    18.584938  0.029438521 -0.070394651   0.89898874     20.74515    8927.9088 
10069000    1.3638728    14.005796    15.369669   -4.6132052    18.589583  0.029418198  0.013356593   0.90936218    20.730298    8908.7469 
10070000    1.3581416    13.999653    15.357795   -4.6227854    18.592744  0.029694368  0.069277711    0.9055409     20.73332    8912.6433 
10071000    1.3308944    13.984933    15.315827   -4.6351769    18.588668  0.031441537 -0.057171356   0.88737388    20.723602    8900.1173 
10072000    1.3603107    13.981674    15.341984   -4.6407366    18.591619  0.030791517  -0.11211092   0.90698716    20.736095    8916.2236 
10073000    1.3358015    14.010424    15.346226   -4.6144415    18.595767  0.029098501 -0.079048536   0.89064567    20.760943    8948.3145 
10074000    1.3452875    14.005907    15.351194   -4.6153543    18.589302   0.03195957  0.014119055   0.89697045    20.741271    8922.9011 
10075000     1.358939     14.00764    15.366579    -4.618989    18.596231  0.030397551 -0.028602422   0.90607262    20.727202     8904.756 
10076000    1.3384005    13.991907    15.330308   -4.6294688    18.591262  0.030114225   0.17866561   0.89237854    20.708675    8880.8988 
10077000    1.3333323    13.983835    15.317167   -4.6248708    18.578943  0.029762525   0.10433937   0.88899932    20.729476    8907.6878 
10078000    1.3527048    13.999766    15.352471   -4.6213432     18.59135  0.029759787 -0.0096959767   0.90191592    20.736297    8916.4832 
10079000    1.3704903     13.98345    15.353941   -4.6355144    18.587853  0.031111917   0.08918672   0.91377444    20.732644    8911.7715 
10080000    1.3317755    14.030164     15.36194   -4.6021894    18.601128   0.03122546  0.023283041    0.8879613    20.759794    8946.8292 
10081000    1.3439368    13.980916    15.324853   -4.6330444    18.582309  0.031651815 0.0050394976   0.89606986    20.724658    8901.4781 
10082000     1.345127    13.993901    15.339028   -4.6219424    18.584473  0.031370999   0.23984998   0.89686343    20.714804    8888.7873 
10083000    1.3547733    14.010334    15.365108    -4.608351    18.588399  0.030285945   0.02976166   0.90329508    20.751382    8935.9574 
