#Step KinEng PotEng TotEng E_pair c_erodrod E_bond E_angle Press Temp Lx Volume 
       0    1.4964494     14.27408     15.77053   -4.4064237   -3.9894064     18.63669  0.043814533 0.0087075526   0.99775764    20.943927    9187.0138 
    1000    1.3462694    14.033262    15.379532   -4.5886226   -4.1514578    18.584205  0.037679925  0.037933742   0.89762512    20.792748    8989.5027 
    2000    1.2083534    13.783055    14.991409   -4.7864461   -4.3289464    18.536947  0.032555052 -0.041179757   0.80566965    20.589797    8728.8336 
    3000    1.0921699    13.605711    14.697881   -4.9509315   -4.4768792    18.522794  0.033849258 -0.095245123   0.72820429    20.446264    8547.5552 
    4000    1.0371582    13.483693    14.520851   -5.0520084   -4.5679888    18.502317  0.033383915  0.083216734   0.69152523    20.344708    8420.8202 
    5000    1.0395077    13.426601    14.466109   -5.0954115   -4.6116305    18.491307  0.030705538 -0.0090434685   0.69309177    20.314375    8383.2108 
    6000    1.0629028    13.451362    14.514264   -5.0717626   -4.5847043    18.493821  0.029303373 -0.043284928   0.70869045    20.332956    8406.2355 
    7000     1.054073    13.467494    14.521567   -5.0574412    -4.574254    18.496119  0.028815501 -0.094570036   0.70280316     20.34849    8425.5173 
    8000    1.0433537    13.430999    14.474353   -5.0854401   -4.5964044    18.487581  0.028857505 -0.082446098   0.69565606    20.321591    8392.1472 
    9000    1.0402472     13.42896    14.469207    -5.096177   -4.6041821    18.500462  0.024675436  0.033437353   0.69358483    20.320434    8390.7138 
   10000    1.0626032     13.44833    14.510933   -5.0812336    -4.592207    18.500942  0.028620856 -0.0073805856   0.70849071    20.332114    8405.1915 
   11000    1.0494663    13.448723    14.498189   -5.0705746   -4.5822974     18.49056   0.02873766  0.013749459   0.69973168    20.332027    8405.0837 
   12000    1.0451517    13.419905    14.465057    -5.101626   -4.6150087    18.492448  0.029082733 -0.097877701   0.69685491     20.31198    8380.2458 
   13000    1.0584995    13.415483    14.473983   -5.1024952   -4.6117244    18.491456  0.026521995  -0.15005668   0.70575457    20.313337    8381.9256 
   14000    1.0499539    13.451438    14.501392   -5.0812341   -4.5905304    18.504729  0.027942531   0.13437237   0.70005676    20.317979    8387.6731 
   15000    1.0607336    13.427635    14.488369   -5.1011209   -4.6124895    18.498274  0.030481996  0.016335609   0.70724414    20.309704    8377.4294 
   16000    1.0398617    13.423952    14.463814   -5.1006214   -4.6102919    18.500474  0.024099209 -0.076593693   0.69332778    20.304326    8370.7765 
   17000    1.0488396    13.427062    14.475902   -5.0886649   -4.5990947    18.489273   0.02645424 -0.043554493   0.69931385    20.313893    8382.6139 
   18000    1.0577438    13.443359    14.501103   -5.0767973   -4.5888024    18.494776  0.025379983  -0.11599974   0.70525068    20.338862    8413.5631 
   19000    1.0561512    13.427107    14.483258   -5.0880247   -4.5972368    18.488954  0.026177879  0.066652047   0.70418879    20.318921    8388.8403 
   20000    1.0596307     13.40873    14.468361    -5.109346   -4.6153086    18.492051  0.026025324    0.3163843   0.70650877    20.279203    8339.7426 
   21000    1.0434525    13.433537    14.476989   -5.0969326   -4.6102791    18.504606  0.025863888   0.14406923   0.69572198      20.2941    8358.1348 
   22000    1.0512811    13.433108    14.484389   -5.0896757   -4.6018905    18.496053   0.02673105  0.053549154   0.70094169    20.320803    8391.1712 
   23000    1.0517198    13.427254    14.478973   -5.0915238   -4.6008243    18.493523  0.025254999  -0.10398025   0.70123417    20.323406    8394.3966 
   24000    1.0488197    13.430298    14.479118   -5.0923371   -4.6063315    18.495047  0.027588164 -0.0083619712   0.69930052    20.316288    8385.5798 
   25000    1.0628796    13.413521      14.4764    -5.107263   -4.6218228    18.493948  0.026835972 -0.090839046   0.70867502    20.302014    8367.9177 
   26000    1.0468663    13.421742    14.468609   -5.1047008   -4.6185252    18.501108  0.025334958  0.088236813   0.69799814    20.298936    8364.1118 
   27000     1.057388    13.430536    14.487924   -5.0894186   -4.6014859    18.493347  0.026606947   -0.1592888   0.70501346    20.332316    8405.4419 
   28000    1.0480493    13.448681     14.49673   -5.0687822   -4.5807578    18.492645  0.024817732  -0.14029921   0.69878687    20.346181    8422.6489 
   29000    1.0356462     13.44825    14.483896   -5.0761905   -4.5889081    18.497445  0.026995706  -0.13273737   0.69051715    20.328275     8400.431 
   30000    1.0362334    13.428706     14.46494   -5.0933665   -4.6079893    18.495404   0.02666906  -0.10456981   0.69090866    20.320378    8390.6456 
   31000    1.0541845    13.417929    14.472113   -5.1050137   -4.6145553    18.497301  0.025641333 -0.0059255557   0.70287755    20.306357     8373.289 
   32000    1.0527646    13.417816    14.470581   -5.0949373   -4.6074054    18.486049  0.026704608   0.14379697   0.70193082    20.303892    8370.2389 
   33000    1.0404526    13.447633    14.488085   -5.0768886   -4.5936525    18.497305  0.027216286   0.14341683   0.69372179    20.316705    8386.0956 
   34000    1.0529517    13.453978    14.506929   -5.0678688   -4.5858263    18.496565  0.025281102 0.0014955384   0.70205558    20.318609    8388.4536 
   35000    1.0542629    13.423182    14.477445   -5.0895534   -4.6055087    18.488093  0.024641952  0.097776519    0.7029298    20.317458    8387.0286 
   36000    1.0533162    13.432919    14.486235   -5.0947321   -4.6030373    18.503192  0.024459212      -0.1203   0.70229858     20.31804    8387.7496 
   37000    1.0677244     13.45901    14.526734    -5.068265   -4.5835899    18.502778  0.024496943   0.16539074   0.71190526    20.329286     8401.685 
   38000    1.0581841    13.438645    14.496829   -5.0865804   -4.6010404    18.501624  0.023600621  0.014317631   0.70554423    20.318142    8387.8749 
   39000    1.0486064    13.430796    14.479402    -5.086566   -4.6011721    18.491227  0.026135067 -0.031373404   0.69915834     20.32089    8391.2797 
   40000    1.0565688    13.441168    14.497736   -5.0862264   -4.6048433    18.503085  0.024309376 -0.0091907105   0.70446729    20.315722    8384.8781 
   41000    1.0665677    13.429206    14.495773   -5.0970245   -4.6029315    18.498266  0.027964654 -0.0099870751   0.71113401    20.311241    8379.3317 
   42000    1.0474035    13.415632    14.463035   -5.1087149   -4.6147214    18.498808  0.025538793   0.16211915   0.69835628    20.302326    8368.3026 
   43000    1.0469048    13.441593    14.488498   -5.0842399   -4.5990238    18.499635   0.02619808  0.059368568   0.69802376    20.310086    8377.9019 
   44000    1.0507802    13.442055    14.492835   -5.0763992   -4.5910602    18.492546  0.025907446  -0.11585985   0.70060772    20.340608    8415.7298 
   45000    1.0406497    13.437293    14.477942   -5.0730749   -4.5859037    18.484629  0.025738316 -0.051877381   0.69385318    20.335025    8408.8023 
   46000    1.0289801    13.427128    14.456108   -5.0853231   -4.6017823    18.486627  0.025824225 0.0023297954   0.68607251    20.319385    8389.4151 
   47000    1.0617523    13.419876    14.481628   -5.0986701    -4.607081    18.495164  0.023382039 0.0044018097   0.70792335    20.316064    8385.3022 
   48000    1.0510692    13.446112    14.497181   -5.0815379   -4.5924695    18.502026  0.025623839  0.062009597   0.70080041      20.3243    8395.5048 
   49000    1.0585511    13.464266    14.522817   -5.0700928   -4.5826634    18.510564  0.023794241  0.065543588   0.70578894    20.321351    8391.8508 
   50000    1.0561683     13.43175    14.487919   -5.0855681   -4.5970964    18.491525  0.025793493 -0.058281261   0.70420025     20.31826    8388.0215 
   51000    1.0409269    13.439206    14.480133    -5.086617   -4.5978854    18.497316  0.028507026  0.059830809   0.69403801     20.31415    8382.9322 
   52000     1.056084    13.448901    14.504985    -5.072823   -4.5848088     18.49442  0.027303207   0.16046725   0.70414402    20.317654    8387.2709 
   53000      1.04861    13.420807    14.469417   -5.0988473   -4.6109063    18.493247  0.026406721   0.08337266   0.69916073    20.298086    8363.0616 
   54000    1.0654376    13.412005    14.477442   -5.0998501   -4.6129828     18.48726  0.024594526  0.088274091   0.71038056    20.303808    8370.1358 
   55000    1.0604339    13.437906     14.49834   -5.0927331   -4.6022611    18.503811  0.026827823  0.083599609   0.70704434    20.301284    8367.0145 
   56000    1.0725474    13.455321    14.527869   -5.0674947    -4.580484    18.494701  0.028115169 -0.044993099     0.715121     20.33751    8411.8846 
   57000    1.0519734     13.43907    14.491044   -5.0748528   -4.5857986    18.488114  0.025809498  -0.06455842   0.70140329    20.329841    8402.3726 
   58000    1.0459022    13.430068     14.47597   -5.0896558   -4.6002392    18.495341  0.024382821  -0.21180664   0.69735531    20.316958    8386.4089 
   59000     1.041362    13.432543    14.473905    -5.083354   -4.5937863    18.492093  0.023804177  0.064402168   0.69432812    20.323004    8393.8989 
   60000    1.0516666    13.449496    14.501163   -5.0735295   -4.5856217    18.497299  0.025727146 -0.0030254076   0.70119875    20.326593    8398.3464 
   61000    1.0523692    13.421231      14.4736   -5.0991454   -4.6064025    18.494392  0.025983956   0.16097507    0.7016672    20.292265    8355.8681 
   62000    1.0342002    13.426138    14.460338   -5.0925886   -4.6049246    18.495153  0.023572976  0.050098006   0.68955302    20.320291     8390.537 
   63000    1.0411378      13.4396    14.480737   -5.0773811   -4.5880861    18.491539  0.025441225  -0.14206883   0.69417867    20.334757    8408.4699 
   64000    1.0537145     13.45429    14.508005    -5.072574   -4.5800951    18.501447     0.025417   -0.1192463   0.70256414    20.339168    8413.9429 
   65000    1.0453527     13.45435    14.499703    -5.066546   -4.5757698    18.496348  0.024547481 -0.084294707   0.69698893    20.326864    8398.6818 
   66000    1.0447813    13.438318    14.483099   -5.0927048   -4.6019507    18.504786  0.026237157  0.027587325   0.69660795    20.297822    8362.7344 
   67000     1.053805    13.425081    14.478887   -5.0933658   -4.6006977    18.494476  0.023971067 -0.014401502   0.70262452    20.302237    8368.1931 
   68000    1.0477517     13.45098    14.498731    -5.080986   -4.5868632    18.508365   0.02360058  0.036022714   0.69858843    20.321815    8392.4257 
   69000    1.0477211    13.429286    14.477007   -5.0849477   -4.5994608    18.489759  0.024474492   0.01877543   0.69856804     20.32589     8397.475 
   70000    1.0483109    13.413043    14.461353   -5.1003953   -4.6089858    18.490165  0.023273218  -0.21922365   0.69896128    20.333016    8406.3096 
   71000    1.0389601    13.442119    14.481079   -5.0748224   -4.5846047    18.490901  0.026040336 -0.0018210065   0.69272668    20.333045    8406.3455 
   72000    1.0509565    13.439086    14.490042   -5.0824295     -4.59236     18.49376  0.027755134   0.04995448   0.70072525     20.31753    8387.1174 
   73000    1.0526654    13.437714    14.490379   -5.0813372   -4.5923041    18.491964  0.027087115   0.13432489   0.70186464    20.310257    8378.1138 
   74000    1.0665336    13.411032    14.477565   -5.1014863   -4.6109925    18.489454  0.023063791   -0.0562732   0.71111128     20.30996    8377.7458 
   75000    1.0442989    13.409977    14.454276    -5.110597   -4.6187807    18.498381  0.022192942 -0.067680038   0.69628627    20.299245    8364.4934 
   76000    1.0591368      13.4332    14.492337    -5.094099   -4.6087978    18.503773  0.023525988 -0.018165148   0.70617945    20.318373    8388.1615 
   77000    1.0522215    13.436155    14.488377   -5.0867647   -4.5985773    18.497038  0.025881726    0.1075936   0.70156872    20.317836    8387.4971 
   78000    1.0371946     13.42288    14.460075   -5.0988677   -4.6116465    18.496533  0.025215216  0.066197842   0.69154948    20.297674    8362.5521 
   79000    1.0636017    13.418556    14.482158    -5.099708   -4.6130002    18.491643  0.026620979 -0.029759416   0.70915643    20.306582    8373.5671 
   80000    1.0535476    13.438154    14.491702   -5.0881464   -4.6026504    18.498599  0.027701794   0.10590958   0.70245287    20.306179    8373.0679 
   81000    1.0399866    13.421267    14.461254   -5.1057165   -4.6169232    18.503556  0.023427667 -0.022408279   0.69341105    20.301821    8367.6786 
   82000     1.039546    13.427629    14.467175   -5.1000974   -4.6071539    18.502477  0.025249494  0.064369528   0.69311731    20.305906    8372.7308 
   83000    1.0352994    13.434761    14.470061   -5.0795863   -4.5955131    18.488985  0.025363004 0.0073561893    0.6902859    20.328494    8400.7028 
   84000    1.0405017    13.432547    14.473049   -5.0918842   -4.6037022    18.499875  0.024555825  -0.17733924   0.69375452     20.32663    8398.3923 
   85000    1.0687363    13.420708    14.489445   -5.1036486      -4.6131     18.49764  0.026717459 -0.0068652335   0.71257991     20.30676    8373.7872 
   86000    1.0575062    13.400211    14.457718   -5.1187215   -4.6316895    18.494192  0.024741068  0.010582023   0.70509226    20.280515    8341.3617 
   87000    1.0584781    13.405518    14.463996   -5.1076005   -4.6162903    18.486637  0.026480851  0.051609712   0.70574029    20.291063    8354.3827 
   88000    1.0529822    13.432504    14.485486   -5.0901312   -4.6012623    18.495408  0.027227176  0.039430602   0.70207589    20.309988    8377.7807 
   89000    1.0554737    13.434949    14.490423   -5.0966644   -4.6084237    18.504285  0.027328546   -0.1219297   0.70373709    20.330046    8402.6272 
   90000    1.0526826    13.435213    14.487895   -5.0791387    -4.594499    18.488066   0.02628557  0.028908816   0.70187615    20.338397    8412.9857 
   91000    1.0634038    13.441524    14.504927   -5.0819261   -4.5941488    18.498079  0.025370451   0.02908718   0.70902451      20.3242    8395.3803 
   92000    1.0498535     13.42974    14.479594   -5.0936205    -4.600531    18.497054  0.026306959   0.05088525    0.6999898    20.308582     8376.041 
   93000    1.0359451    13.435372    14.471317   -5.0799655   -4.6002014    18.490084  0.025253655 -0.059757964   0.69071641    20.322351    8393.0892 
   94000    1.0548814    13.435899     14.49078   -5.0846229   -4.5961867    18.492043  0.028478246    0.1495079   0.70334216    20.313007    8381.5175 
   95000    1.0415746    13.439759    14.481333   -5.0911286   -4.6020992    18.504288  0.026599323  0.047751283   0.69446988    20.311918    8380.1693 
   96000    1.0349083     13.43373    14.468638   -5.0858344   -4.5985835    18.494883  0.024681618 -0.018307408   0.69002514    20.318072    8387.7887 
   97000    1.0522949    13.435441    14.487736   -5.0859988   -4.6006201    18.495873  0.025566732  -0.12918722   0.70161762    20.335684    8409.6194 
   98000    1.0498469    13.444978    14.494825   -5.0853971   -4.5985083    18.504992  0.025383597 -0.061456132   0.69998543    20.329681    8402.1746 
   99000    1.0509315    13.432648    14.483579   -5.0971112   -4.6090918    18.504301  0.025458589  -0.11022678    0.7007086     20.31178    8379.9988 
  100000    1.0343747    13.425943    14.460317   -5.1036371   -4.6165535    18.502006  0.027573875  0.043034878   0.68966931     20.30411    8370.5089 
  101000    1.0516914    13.438107    14.489798   -5.0762354     -4.59327    18.486821  0.027521544 -0.0038730698   0.70121527    20.337138    8411.4238 
  102000    1.0496625     13.43945    14.489113   -5.0793392   -4.5927393    18.491634  0.027155062  -0.13562716    0.6998625    20.324604    8395.8814 
  103000    1.0439751    13.435522    14.479497   -5.0872866    -4.605259    18.498086  0.024722013  0.060408744   0.69607044    20.319311    8389.3239 
  104000    1.0524237    13.420916     14.47334   -5.0945192   -4.6117732    18.491156  0.024279458   0.13134739   0.70170352    20.322171    8392.8668 
  105000    1.0626465    13.435097    14.497743   -5.0909255   -4.6037781    18.501463  0.024559278 -0.030486945   0.70851955    20.313707    8382.3836 
