#Step KinEng PotEng TotEng E_pair c_erodrod E_bond E_angle Press Temp Lx Volume 
       0    1.3239521    13.995131    15.319083   -4.6127414   -4.1925078    18.576934  0.030938209 -0.012765325    0.8827451    20.745514    8928.3786 
    1000    1.1918294    13.750972    14.942802   -4.8069903   -4.3644546    18.528494  0.029469008 -0.049424342   0.79465224    20.578213    8714.1087 
    2000    1.0745279    13.488491    14.563018   -5.0297656   -4.5667198    18.489875  0.028381359  0.010751735   0.71644149    20.375051    8458.5536 
    3000   0.96015282    13.313747      14.2739   -5.1747584   -4.7005238    18.463901  0.024604415  0.045807256    0.6401819    20.247357    8300.5147 
    4000    0.8957183    13.202162     14.09788   -5.2662594   -4.7862763    18.444495  0.023925677 -0.091062939   0.59722019    20.168016    8203.3173 
    5000   0.89813792    13.126463    14.024601   -5.3356445   -4.8466278    18.438806   0.02330166  0.069441647   0.59883347    20.125551    8151.6094 
    6000   0.89796567    13.160493    14.058459   -5.3179195   -4.8322161    18.454271  0.024141326 -0.005365537   0.59871862    20.120887    8145.9428 
    7000   0.91966293     13.15214    14.071803    -5.323032   -4.8338415    18.451433   0.02373893 -0.026080608   0.61318527    20.127784    8154.3228 
    8000   0.88557256    13.140052    14.025624   -5.3317883   -4.8395576     18.44966  0.022179686  0.058021582   0.59045551    20.108976    8131.4852 
    9000   0.88461735    13.132462    14.017079   -5.3410423   -4.8543333      18.4529  0.020604777  0.049483367   0.58981863    20.104776    8126.3906 
   10000   0.91855238    13.136632    14.055185   -5.3340153   -4.8452494    18.448645  0.022002348  -0.12482931   0.61244481    20.131729     8159.118 
   11000   0.89086513    13.144619    14.035484   -5.3346277   -4.8463957    18.454878  0.024368329 -0.073132962   0.59398433    20.129086    8155.9048 
   12000   0.87947173      13.1225    14.001972   -5.3451506   -4.8556543     18.44624  0.021410355 0.0041231027   0.58638778    20.116815    8140.9985 
   13000   0.89337122    13.142822    14.036194   -5.3318737   -4.8468005    18.453117  0.021579474  -0.17046785   0.59565527    20.138595     8167.469 
   14000   0.90517762    13.169423    14.074601   -5.3093955     -4.81839    18.455736  0.023082907  -0.14643641   0.60352719    20.153226     8185.283 
   15000   0.90398513    13.146993    14.050978   -5.3183942   -4.8309583    18.443449  0.021937853  -0.18886073   0.60273209    20.142983    8172.8096 
   16000   0.89445567    13.141591    14.036047    -5.331696   -4.8395574    18.450109    0.0231777 -0.077345531   0.59637833    20.125004    8150.9442 
   17000   0.90110108    13.156598    14.057699   -5.3245121   -4.8359627    18.460022  0.021088041 -0.080297706   0.60080916    20.135879    8164.1649 
   18000   0.90616039    13.148093    14.054253   -5.3271019   -4.8379979    18.452119  0.023076233  0.046570807   0.60418245    20.130969    8158.1947 
   19000   0.89562812    13.129941    14.025569   -5.3400895   -4.8472963     18.44851   0.02152022  0.072944463   0.59716006    20.109698    8132.3611 
   20000    0.9182146    13.124863    14.043078   -5.3365852   -4.8481125    18.441067  0.020381354  0.087748816   0.61221959    20.106319     8128.262 
   21000   0.90251195     13.14653    14.049042   -5.3308517   -4.8464578    18.455868  0.021513373  0.068752545   0.60174985    20.115346     8139.215 
   22000   0.90313754    13.132903     14.03604   -5.3400528    -4.852723    18.451677  0.021278357 -0.035496787   0.60216696    20.114847    8138.6098 
   23000   0.90341894    13.136044    14.039463   -5.3268488   -4.8377442    18.440809  0.022084069  0.022797759   0.60235459    20.116508    8140.6252 
