#Step KinEng PotEng TotEng E_pair E_bond E_angle Press Temp Lx Volume 
 3263000    1.7782952    14.752267    16.530563   -4.0108639    18.715919  0.047212332  0.017045954    1.1856784    21.420178    9828.0926 
 3264000    1.8174373    14.753245    16.570682   -4.0200603    18.728523  0.044782476   0.23036379    1.2117763    21.376381    9767.9306 
 3265000     1.789328    14.771813    16.561141   -4.0027276    18.728404  0.046137042 -0.025062289    1.1930345    21.415154    9821.1788 
 3266000    1.8100318    14.790947    16.600979    -3.990397     18.73736  0.043984568  0.013956385    1.2068387    21.417652    9824.6152 
 3267000    1.7964083    14.772938    16.569346   -4.0063131    18.732838  0.046412656  0.058920582    1.1977553    21.427689    9838.4349 
 3268000    1.7850195    14.753503    16.538523   -4.0253804    18.729442   0.04944176   0.13774745    1.1901618    21.387416    9783.0652 
 3269000    1.7686456    14.770694    16.539339   -4.0105227     18.73753  0.043686011  0.061154529    1.1792445    21.377325    9769.2243 
 3270000    1.7876052    14.781246    16.568851   -4.0026768    18.737065  0.046858124  -0.15860545    1.1918858    21.428088    9838.9841 
 3271000    1.8273058    14.780521    16.607827   -3.9967655    18.732083  0.045204111  0.067272622    1.2183561    21.403676    9805.3953 
 3272000    1.7749322     14.78048    16.555412   -3.9929717    18.724445  0.049006307  0.052371397    1.1834361    21.432516    9845.0851 
 3273000    1.7960478    14.787645    16.583693    -3.997324    18.739414  0.045555695 -0.083184959    1.1975149    21.412688    9817.7857 
 3274000    1.8232075    14.798988    16.622196    -3.979716    18.732944  0.045760045  -0.24377574    1.2156236     21.43773    9852.2717 
 3275000    1.8096001    14.782005    16.591605    -4.008053    18.738214  0.051843361  -0.17081641    1.2065509    21.423804    9833.0847 
 3276000    1.7884554    14.780692    16.569148   -3.9955241    18.731257  0.044959024 -0.0078450544    1.1924527    21.416376      9822.86 
 3277000    1.8081273    14.803721    16.611848   -3.9842076     18.74192  0.046008396  0.076102537    1.2055689    21.428271    9839.2361 
 3278000    1.8020268    14.791039    16.593066   -3.9885661    18.732736  0.046868969  -0.18164525    1.2015014    21.448758    9867.4846 
 3279000    1.7938038    14.768609    16.562413   -4.0174692    18.738301  0.047777172  0.037345492    1.1960187    21.366053    9753.7791 
 3280000    1.7778118    14.761644    16.539455   -3.9904698     18.70606  0.046053267    0.1993947     1.185356    21.414171    9819.8255 
 3281000    1.8076987    14.788401      16.5961   -3.9993284    18.742884  0.044845842  -0.10226533    1.2052831    21.434151    9847.3378 
 3282000    1.8075109    14.790311    16.597822   -3.9850906    18.724423  0.050978401  0.019356646    1.2051579    21.426336    9836.5714 
 3283000    1.8017633    14.740985    16.542748   -4.0247543     18.71809  0.047649102  0.031522802    1.2013257    21.394424    9792.6853 
 3284000    1.7919088     14.77284    16.564749   -4.0145663    18.735753   0.05165342 -0.082706462    1.1947552    21.383729    9778.0071 
 3285000    1.8078023    14.775041    16.582843   -4.0076641    18.734948  0.047756923  -0.14205976    1.2053522    21.432346    9844.8506 
 3286000    1.7881242    14.781927    16.570051   -3.9839687    18.717182  0.048712849 -0.018370564    1.1922318    21.406409    9809.1517 
 3287000    1.7729382    14.794166    16.567104   -3.9819672      18.7275  0.048632911 -0.030778198    1.1821066    21.424847    9834.5204 
 3288000    1.8129809    14.773238    16.586219    -3.997302    18.725401  0.045139007    0.1020306     1.208805    21.429479    9840.8999 
 3289000     1.805753    14.754747      16.5605   -4.0074837    18.716264  0.045966238  0.073294269    1.2039858    21.371026    9760.5916 
 3290000    1.7675882    14.741816    16.509405   -4.0252291    18.720263  0.046782356 -0.060897044    1.1785395    21.379098    9771.6554 
 3291000    1.8039987    14.748306    16.552305   -4.0267938    18.732496  0.042604592  -0.13064686    1.2028162    21.392658    9790.2608 
 3292000    1.8052645    14.770236      16.5755   -3.9870167    18.710635  0.046617858  0.088613016    1.2036601      21.4202    9828.1221 
 3293000    1.8314699    14.790024    16.621494   -3.9982598    18.739136  0.049147751 -0.063068755    1.2211326     21.42477    9834.4142 
 3294000    1.7943397    14.781349    16.575689   -3.9861889    18.722844  0.044693521  0.012937054     1.196376    21.436654    9850.7889 
 3295000    1.8158259    14.771659    16.587485   -4.0026414    18.733362  0.040937983  0.041699591    1.2107019    21.405212    9807.5068 
 3296000    1.7840702    14.760208    16.544278   -4.0090238    18.724861  0.044370252 -0.067206373    1.1895288    21.425143    9834.9277 
 3297000    1.8007423    14.748837    16.549579   -4.0200202    18.716268  0.052588804  0.069104051    1.2006449    21.376518    9768.1183 
 3298000    1.7930691     14.79789     16.59096   -3.9750439    18.726523  0.046411739  -0.25734605    1.1955289      21.4568    9878.5873 
 3299000    1.8207055     14.77545    16.596156   -3.9999275    18.733112  0.042265445    -0.145198    1.2139554    21.431487    9843.6673 
 3300000    1.7893015    14.780401    16.569703   -3.9853716     18.71953  0.046242906 -0.071596024    1.1930168    21.433529    9846.4816 
 3301000    1.8310053    14.782039    16.613044   -3.9985543    18.728717  0.051876077  0.023727951    1.2208228    21.409956     9814.029 
 3302000    1.7799123      14.7858    16.565712   -3.9947908    18.736203  0.044387087   -0.1062305    1.1867565    21.438194    9852.9123 
 3303000    1.8066603    14.757146    16.563806   -4.0206276    18.725712  0.052061808 -0.038441626    1.2045908    21.377056    9768.8554 
 3304000    1.7917328    14.781761    16.573494   -3.9886689    18.724435  0.045995151  -0.11117727    1.1946378    21.435788    9849.5947 
 3305000     1.801669    14.773221     16.57489   -4.0089408    18.730976  0.051185067 0.0089224769    1.2012628    21.402057    9803.1698 
 3306000    1.7919405    14.770274    16.562215   -4.0130584    18.733703  0.049630114  0.048350645    1.1947764    21.396292    9795.2511 
 3307000    1.8043422     14.78865    16.592993   -3.9950549    18.729132  0.054573771 -0.022849037    1.2030452    21.410868    9815.2823 
 3308000    1.7809824    14.790739    16.571721   -3.9864696    18.726729   0.05047865   0.16575923      1.18747    21.420527    9828.5721 
 3309000    1.7799927    14.751259    16.531252   -4.0099362     18.71588  0.045314752   0.19738771    1.1868102    21.400243    9800.6784 
 3310000    1.8158946    14.778063    16.593958   -3.9900691    18.722092  0.046040561   0.16023178    1.2107477     21.41925    9826.8148 
 3311000    1.7904714    14.789527    16.579998   -3.9855185    18.726709  0.048336192  -0.21845887    1.1937968    21.437719    9852.2568 
 3312000    1.8187795    14.751101    16.569881    -4.019134    18.719275  0.050960033   0.19640083    1.2126712    21.371219    9760.8557 
 3313000    1.7694196    14.765958    16.535378   -4.0102312    18.722464  0.053724939  0.026013661    1.1797605     21.40619    9808.8508 
