#Step KinEng PotEng TotEng E_pair E_bond E_angle Press Temp Lx Volume 
       0   0.48448444    14.197408    14.681893   -5.6481987    18.329377    1.5162301   -1.5880033   0.32303001           20         8000 
    1000   0.90857432    13.537788    14.446362   -5.1672985    18.441152   0.26393438 -0.023731935   0.60579194    20.307631    8374.8641 
    2000   0.84152234    13.368806    14.210329   -5.2633433    18.436398    0.1957513   0.12235134   0.56108503    20.190985    8231.3775 
    3000   0.80141624    13.215054     14.01647   -5.3818734    18.422912   0.17401462 -0.042122537   0.53434429    20.097688    8117.7989 
    4000   0.75673485    13.122368    13.879103   -5.4420089    18.402929   0.16144765 -0.017662514   0.50455297    20.039148    8047.0694 
    5000   0.74073253     13.07183    13.812562   -5.4892801    18.404188   0.15692193  -0.13430639   0.49388342     20.00598    8007.1782 
    6000   0.75101345    13.064484    13.815498    -5.493569    18.409532   0.14852164 -0.063985926   0.50073823    20.004212    8005.0553 
    7000   0.75765024    13.058842    13.816492   -5.4933334     18.40736   0.14481566  0.052870158   0.50516331    19.998398    7998.0772 
    8000   0.74505211    13.032254    13.777306   -5.5142239    18.405926   0.14055111 -0.0079720099    0.4967635    19.988098    7985.7256 
    9000   0.73701193    13.032729    13.769741   -5.5143893    18.410308    0.1368105   0.11843112   0.49140271    19.976962    7972.3858 
   10000    0.7484986    13.037289    13.785787   -5.5004055     18.40265   0.13504387  0.030402672   0.49906145    19.990442    7988.5357 
   11000   0.75027713    13.030088    13.780365   -5.5021396     18.40375   0.12847689  0.078963479   0.50024729    19.984336     7981.218 
   12000   0.73551847    13.027456    13.762975   -5.5092572    18.409334    0.1273798 -0.048655135   0.49040695    19.985423    7982.5203 
   13000   0.74442669    13.016705    13.761131   -5.5181553    18.408353   0.12650738 -0.057604482    0.4963465    19.986415    7983.7094 
   14000   0.75255358    13.014865    13.767419   -5.5149018    18.408831   0.12093617    0.1231882   0.50176511    19.988097    7985.7248 
   15000    0.7574797    12.999216    13.756695   -5.5294401    18.408439   0.12021634 -0.023930227    0.5050496    19.973802     7968.604 
   16000   0.73930196    13.000232    13.739534   -5.5255202    18.407788   0.11796464   0.10449598   0.49292959    19.969839    7963.8614 
   17000   0.75347396    12.999018    13.752492   -5.5194461    18.404446   0.11401762  0.067031738   0.50237877    19.975902    7971.1178 
   18000   0.74989375    13.004718    13.754612   -5.5221944    18.414257   0.11265527    0.1072679   0.49999166    19.977487     7973.015 
   19000   0.73898322    12.987562    13.726546     -5.53422    18.409019    0.1127631 -0.019628628   0.49271707    19.968162    7961.8546 
   20000   0.74279089    12.985882    13.728672   -5.5302976    18.404227   0.11195249   0.05576133   0.49525583    19.976803    7972.1956 
   21000   0.75959884     12.99031    13.749909   -5.5249614    18.408023   0.10724892 -0.028425493   0.50646253    19.986262    7983.5256 
   22000   0.74755842    12.976461    13.724019   -5.5332203     18.40187   0.10781159  -0.12542991   0.49843459    19.975304    7970.4019 
   23000   0.74597477    12.957586     13.70356   -5.5530269    18.403389   0.10722306  0.073883129   0.49737868    19.950476    7940.7186 
   24000   0.76218734    12.962776    13.724964   -5.5523237    18.409196   0.10590371  0.015008213   0.50818842    19.948596    7938.4734 
   25000   0.75735247    12.967059    13.724411   -5.5497206    18.413039   0.10374013 -0.010467811   0.50496477    19.954752    7945.8255 
   26000   0.74220958    12.956154    13.698363   -5.5555809    18.406779   0.10495596 -0.012687595   0.49486825    19.951276    7941.6737 
   27000   0.75057083     12.95014     13.70071   -5.5595942    18.406881   0.10285317 -0.078675292   0.50044311    19.946909    7936.4595 
   28000   0.75523148    12.954904    13.710135   -5.5568127    18.410164   0.10155281  -0.13453602    0.5035506    19.955213    7946.3755 
   29000    0.7444363    12.943731    13.688167   -5.5595347    18.403844  0.099421055  -0.12534029   0.49635291    19.951413    7941.8371 
   30000    0.7485442    12.941854    13.690398   -5.5656665    18.408056  0.099464226 -0.0019008186   0.49909186    19.945129    7934.3348 
   31000   0.76011213     12.95253    13.712642   -5.5605838    18.416496  0.096617729 -0.016959774   0.50680477    19.955109    7946.2516 
   32000   0.74578498    12.946789    13.692574   -5.5611567    18.411979  0.095966503  0.015016292   0.49725214     19.94947    7939.5167 
   33000   0.75765909    12.936836    13.694495   -5.5621363    18.402819  0.096152944 -0.022638085   0.50516921    19.949565     7939.631 
   34000    0.7639495    12.953162    13.717111   -5.5490568    18.406993  0.095226305 -0.026525745   0.50936333     19.95424    7945.2135 
   35000   0.75684334    12.944978    13.701821   -5.5609796    18.411259  0.094698826  0.023123678    0.5046253    19.947205     7936.813 
   36000   0.74484644    12.939839    13.684685   -5.5613967    18.410153  0.091082705 -0.015972918   0.49662637    19.954152     7945.108 
   37000   0.73823522    12.937189    13.675425   -5.5670128     18.41011  0.094091886 0.0038456521   0.49221834     19.95518    7946.3366 
   38000   0.75824286    12.940377     13.69862   -5.5627442    18.410429  0.092692466 0.0050909829   0.50555843    19.944303      7933.35 
   39000   0.75173572    12.938845    13.690581   -5.5598399    18.408057  0.090628264  -0.06986073    0.5012198    19.943439    7932.3186 
   40000   0.75279132    12.934893    13.687684   -5.5581445    18.402446  0.090590745  0.049674947   0.50192362    19.946049    7935.4337 
   41000   0.74376081    12.940957    13.684718    -5.562571    18.411926  0.091601585  0.033027121   0.49590253    19.950533    7940.7862 
   42000   0.73979174    12.922287    13.662079   -5.5673758    18.399869  0.089793942 -0.086651664   0.49325615    19.942999     7931.794 
   43000   0.74593587    12.936509    13.682445   -5.5612982    18.409005  0.088802732 -0.0025051867   0.49735275    19.949431    7939.4706 
