#Step KinEng PotEng TotEng E_pair E_bond E_angle Press Temp Lx Volume 
   99000   0.73285873    14.051939    14.784798   -5.5449675    19.430284    0.1666219  -0.15405316   0.48863356    19.964596    7957.5904 
  100000   0.75163008    14.059437    14.811068   -5.5350813     19.42553   0.16898858  -0.11989611   0.50114937    19.966901    7960.3466 
  101000   0.74984033    14.056414    14.806254   -5.5425801    19.430681   0.16831346 -0.090112397   0.49995605    19.955719    7946.9798 
  102000   0.75326524    14.038716    14.791981   -5.5484772    19.422112   0.16508092  0.023023504    0.5022396     19.94511    7934.3132 
  103000   0.75567069    14.049096    14.804766   -5.5475129    19.429857   0.16675188  0.090839951   0.50384344    19.950582    7940.8443 
  104000   0.75576954    14.071102    14.826872   -5.5352747    19.438814   0.16756315  0.049111592   0.50390935    19.950167    7940.3499 
  105000   0.75365503    14.048786    14.802441   -5.5518667    19.432925   0.16772776  0.044612559    0.5024995    19.947158    7936.7575 
  106000   0.74417047    14.045189     14.78936   -5.5522131    19.430282   0.16712002 -0.020328104   0.49617567     19.94802    7937.7864 
  107000   0.73723024    14.042207    14.779437   -5.5508402    19.429046   0.16400166  -0.32133953   0.49154827    19.949491    7939.5418 
  108000   0.75118709    14.052518    14.803705   -5.5438032    19.432735    0.1635866 -0.021403916     0.500854    19.944016    7933.0069 
  109000    0.7585393     14.04187    14.800409   -5.5557274    19.434097    0.1634999   0.11170263   0.50575609    19.924831    7910.1353 
  110000   0.74904691    14.030159    14.779205   -5.5612827    19.427966   0.16347508   0.13023955   0.49942703    19.937777     7925.565 
  111000   0.74033849    14.059064    14.799403   -5.5455459    19.437679   0.16693136  0.098869945    0.4936207    19.942377    7931.0512 
  112000   0.74202613    14.061942    14.803968   -5.5355143    19.432479   0.16497736  0.079027362   0.49474593    19.941675    7930.2141 
  113000   0.73729868     14.04074    14.778039   -5.5508998    19.429128   0.16251263   0.13412226    0.4915939    19.934936    7922.1768 
  114000   0.75800604    14.038197    14.796203    -5.556587    19.427922   0.16686153 0.0016961929   0.50540054    19.941015    7929.4268 
  115000   0.74852339     14.05221    14.800733   -5.5409074    19.429859   0.16325773   -0.1160663   0.49907798    19.957048    7948.5684 
  116000   0.74652967      14.0503     14.79683   -5.5434762     19.42966   0.16411657 -0.020263699   0.49774866     19.94683    7936.3653 
  117000   0.74530243    14.038447    14.783749    -5.552259    19.429889   0.16081692  0.091489564    0.4969304    19.935564    7922.9258 
  118000   0.74516521    14.044002    14.789167   -5.5523254    19.434305   0.16202269   0.15176281   0.49683891    19.931165    7917.6823 
  119000   0.75205927     14.04974    14.801799   -5.5413075    19.427936   0.16311165   0.11406805   0.50143552     19.94647    7935.9359 
  120000   0.75899912     14.04382    14.802819   -5.5434371    19.425477   0.16177999  -0.13512391   0.50606267     19.95625    7947.6153 
  121000   0.75133396    14.048993    14.800327   -5.5454737    19.432016   0.16245117 -0.040583936   0.50095192     19.93822    7926.0928 
  122000    0.7461888    14.041559    14.787748   -5.5484756    19.428547    0.1614874 -0.025657797   0.49752139    19.935263    7922.5669 
  123000    0.7568949    14.054528    14.811423   -5.5372471    19.432253   0.15952222  -0.11075601   0.50465968     19.94761    7937.2962 
  124000   0.74652015    14.050559    14.797079   -5.5410745    19.430813    0.1608202 0.00031607666   0.49774232    19.931981     7918.654 
  125000    0.7463468     14.03213    14.778477   -5.5531001    19.424671   0.16055925   0.19169382   0.49762674     19.92448    7909.7181 
  126000   0.74727725    14.043159    14.790437   -5.5499057    19.432182   0.16088276  0.023510432   0.49824711    19.935949    7923.3848 
  127000   0.75221657    14.057017    14.809233   -5.5334914    19.431283   0.15922545  0.017579559    0.5015404     19.93709    7924.7456 
